Author,Quote,Tags
Dr. Seuss,I meant what I said and I said what I meant. An elephant's faithful one-hundred percent!,"['dr-seuss', 'humor', 'inspirational', 'musical']"
Max Lucado,Faith is not the belief that God will do what you want. It is the belief that God will do what is right.,['faith']
Roy T. Bennett,To shine your brightest light is to be who you truly are.,"['be-yourself', 'being-yourself', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'light', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'shine']"
Markus Zusak,Sometimes you read a book so special that you want to carry it around with you for months after you've finished just to stay near it.,['book']
Arundhati Roy,That's what careless words do. They make people love you a little less.,['words']
George Bernard Shaw,Animals are my friends...and I don't eat my friends.,"['animals', 'friends', 'humor', 'vegetarianism']"
Friedrich Nietzsche,"In individuals, insanity is rare; but in groups, parties, nations and epochs, it is the rule.","['insanity', 'society']"
Oscar Wilde,Crying is for plain women. Pretty women go shopping.,"['beauty', 'humour']"
J.K. Rowling,"Ah, music,"" he said, wiping his eyes. ""A magic beyond all we do here!","['dumbledore', 'magic', 'music', 'power-of-music']"
Cassandra Clare,"Sometimes, when I have to do something I don't want to do, I pretend I'm a character from a book. It's easier to know what they would do.","['clockwork-angel', 'will-herondale', 'william-herondale']"
Pablo Picasso,Art washes away from the soul the dust of everyday life.,['art']
Margaret Walker,"When I was about eight, I decided that the most wonderful thing, next to a human being, was a book.","['books', 'inspirational']"
Rick Riordan,Knowing too much of your future is never a good thing.,"['fate', 'future', 'knowledge']"
Mahatma Gandhi,"You must not lose faith in humanity. Humanity is like an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.","['faith', 'humanity', 'ocean']"
Cassandra Clare,"They say time heals all wounds, but that presumes the source of the grief is finite","['grief', 'healing', 'magnus-bane', 'time', 'will-herondale']"
Oscar Wilde,I have the simplest tastes. I am always satisfied with the best.,"['humor', 'taste']"
Elie Wiesel,"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.","['deep', 'friendship', 'life', 'love', 'obsession', 'sharing']"
Abraham Lincoln,I'm a success today because I had a friend who believed in me and I didn't have the heart to let him down.,"['frienship', 'success']"
Maya Angelou,"You may encounter many defeats, but you must not be defeated. In fact, it may be necessary to encounter the defeats, so you can know who you are, what you can rise from, how you can still come out of it.","['adversity', 'character', 'failure', 'perseverance']"
Rumi,Sell your cleverness and buy bewilderment.,['wisdom']
J.K. Rowling,The scar had not pained Harry for nineteen years. All was well.,['harry-potter']
Lemony Snicket,"Strange as it may seem, I still hope for the best, even though the best, like an interesting piece of mail, so rarely arrives, and even when it does it can be lost so easily.","['hope', 'mail']"
Kahlil Gibran,Ever has it been that love knows not its own depth until the hour of separation.,"['emotion', 'heartbreak', 'lost-love', 'love', 'parting']"
Blaise Pascal,The heart has its reasons which reason knows not.,"['heart', 'love', 'quip', 'reason']"
Nikolai V. Gogol,"The longer and more carefully we look at a funny story, the sadder it becomes.","['humor', 'sadness']"
J.R.R. Tolkien,Courage is found in unlikely places.,"['bravery', 'courage']"
Frances Hodgson Burnett,"If you look the right way, you can see that the whole world is a garden.","['perspective', 'positive-attitude']"
Paulo Coelho,Tears are words that need to be written.,"['inspirational', 'sadness', 'writing']"
Sarah   Williams,"Though my soul may set in darkness, it will rise in perfect light; I have loved the stars too fondly to be fearful of the night.","['poetry', 'science', 'stars']"
Edna St. Vincent Millay,"Where you used to be, there is a hole in the world, which I find myself constantly walking around in the daytime, and falling in at night. I miss you like hell.","['loneliness', 'loss', 'yearning']"
Dr. Seuss,Adults are just obsolete children and the hell with them.,"['adulthood', 'childhood']"
John Updike,It is easy to love people in memory; the hard thing is to love them when they are there in front of you.,['love']
Jane Austen,I must learn to be content with being happier than I deserve.,['happiness']
Charles Lamb,"Tis the privilege of friendship to talk nonsense, and to have her nonsense respected.","['friendship', 'nonsense']"
Carl Sagan,"The nitrogen in our DNA, the calcium in our teeth, the iron in our blood, the carbon in our apple pies were made in the interiors of collapsing stars. We are made of starstuff.","['atoms', 'cosmos', 'dna', 'sense-of-wonder', 'stars']"
Rebecca West,I myself have never been able to find out precisely what feminism is: I only know that people call me a feminist whenever I express sentiments that differentiate me from a doormat.,"['feminism', 'qotd']"
Yogi Berra,"Always go to other people's funerals, otherwise they won't come to yours.",['funny']
Nick Hornby,It's no good pretending that any relationship has a future if your record collections disagree violently or if your favorite films wouldn't even speak to each other if they met at a party.,"['films', 'music', 'relationships']"
Santosh Kalwar,We are addicted to our thoughts. We cannot change anything if we cannot change our thinking.,"['addiction', 'life-lessons', 'philosophy', 'thinking', 'thoughts']"
J.K.Rowling,"Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.","['dumbledore', 'philosophy']"
Brian Andreas,"I read once that the ancient Egyptians had fifty words for sand & the Eskimos had a hundred words for snow. I wish I had a thousand words for love, but all that comes to mind is the way you move against me while you sleep & there are no words for that.","['inspiration', 'love', 'story-people']"
Maya Angelou,"Pretty women wonder where my secret lies.I'm not cute or built to suit a fashion model's sizeBut when I start to tell them,They think I'm telling lies.I say,It's in the reach of my armsThe span of my hips,The stride of my step,The curl of my lips.I'm a womanPhenomenally.Phenomenal woman,That's me.",['phenomenal-woman']
Chuck Palahniuk,"You know how they say you only hurt the ones you love? Well, it works both ways.",['love']
Cassandra Clare,"Even in half demon hunter clothes, Clary thought, he looked like the kind of boy who'd come over your house to pick you up for a date and be polite to your parents and nice to your pets.Jace on the other hand, looked like the kind of boy who'd come over your house and burn it down just for kicks.","['clary-fray', 'jace-wayland', 'shadowhunters', 'simon']"
Jon Krakauer,"It's not always necessary to be strong, but to feel strong.","['empowerment', 'strength']"
Cassandra Clare,"What do you want?""""Just coffee. Black - like my soul.","['coffee', 'soul']"
Robert Frost,If we couldn't laugh we would all go insane.,['laughter']
Roy T. Bennett,Sometimes you have to lose all you have to find out who you truly are.,"['be-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Arthur William Edgar O'Shaughnessy,"We are the music makers, and we are the dreamers of dreams.","['dreams', 'music']"
Jack Kerouac,"I like too many things and get all confused and hung-up running from one falling star to another till i drop. This is the night, what it does to you. I had nothing to offer anybody except my own confusion.","['on-the-road', 'sal-paradise']"
Stephanie Perkins,Is it possible for home to be a person and not a place?,"['home', 'lover', 'person']"
Margaret Atwood,Don't let the bastards grind you down.,['inspirational']
Mitch Albom,"Lost love is still love. It takes a different form, that's all. You can't see their smile or bring them food or tousle their hair or move them around a dance floor. But when those senses weaken another heightens. Memory. Memory becomes your partner. You nurture it. You hold it. You dance with it.",['love']
Bill Cosby,"A word to the wise ain't necessary, it's the stupid ones who need advice.",['funny']
jonathan safran foer,Time was passing like a hand waving from a train I wanted to be on. I hope you never have to think about anything as much as I think about you.,"['desperate', 'life', 'losing', 'love', 'nostalgia', 'pain', 'regret', 'solitude']"
Robert Louis Stevenson,"I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move.",['travel']
Anne Frank,"I don't think of all the misery, but of the beauty that still remains.","['beauty', 'hope', 'inspirational', 'joy']"
Sarah Dessen,I like flaws. I think they make things interesting.,"['life', 'love']"
Oscar Wilde,Children begin by loving their parents; as they grow older they judge them; sometimes they forgive them.,"['children', 'parents']"
Michael Crichton,"If you don't know history, then you don't know anything. You are a leaf that doesn't know it is part of a tree. ",['history']
Adrienne Rich,There must be those among whom we can sit down and weep and still be counted as warriors.,['inspirational']
Charles Dickens,"A wonderful fact to reflect upon, that every human creature is constituted to be that profound secret and mystery to every other.","['communication', 'psychology']"
Ursula K. Le Guin,"It is good to have an end to journey toward; but it is the journey that matters, in the end.","['goals', 'journey', 'travel']"
Suzanne Collins,I must have loved you a lot.,"['mockingjay', 'peeta-mellark']"
Ray Bradbury,"You must write every single day of your life... You must lurk in libraries and climb the stacks like ladders to sniff books like perfumes and wear books like hats upon your crazy heads... may you be in love every day for the next 20,000 days. And out of that love, remake a world.",['writing']
Mark Twain,"It's not the size of the dog in the fight, it's the size of the fight in the dog.","['bravery', 'dog', 'famous', 'inspirational', 'valour']"
Lao Tzu,"When you are content to be simply yourself and don't compare or compete, everyone will respect you.","['ataraxy', 'be-yourself', 'integrity', 'self-reliance', 'self-respect']"
Sophocles,One wordFrees us of all the weight and pain of life:That word is love.,"['love', 'pain']"
Michelle Hodkin,Thinking something does not make it true. Wanting something does not make it real.,"['inspirational-quotes', 'mara-dyer', 'reality', 'truth']"
Bill Watterson,"You know, Hobbes, some days even my lucky rocket ship underpants don't help.","['bad-day', 'calvin-and-hobbes', 'luck']"
Rick Riordan,"We're staying together,"" he promised. ""You're not getting away from me. Never again.","['annabeth-chase', 'emotion', 'heartbreak', 'love', 'percy-jackson']"
Kiera Cass,True love is usually the most inconvenient kind.,"['inconvenient', 'love', 'relationship', 'true-love']"
William Goldman,"When I was your age, television was called books.","['book', 'fantasy', 'humour']"
Bob Marley,"The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively.",['inspirational-life']
Edgar Allan Poe,"From childhood's hour I have not been. As others were, I have not seen. As others saw, I could not awaken. My heart to joy at the same tone. And all I loved, I loved alone.","['heartache', 'loss', 'love']"
Emilie Autumn,"It gives me strength to have somebody to fight for; I can never fight for myself, but, for others, I can kill.","['fight', 'friends', 'friendship', 'kill', 'loyalty', 'strength']"
J.K. Rowling,"Ginny!"" said Mr. Weasley, flabbergasted. ""Haven't I taught you anything? What have I always told you? Never trust anything that can think for itself if you can't see where it keeps its brain?","['humor', 'trust']"
Henry Wadsworth Longfellow,"The love of learning, the sequestered nooks,And all the sweet serenity of books","['books', 'learning', 'love', 'serenity']"
J.D. Salinger,"I am always saying ""Glad to've met you"" to somebody I'm not at all glad I met. If you want to stay alive, you have to say that stuff, though.","['friendship', 'insincerity', 'manners']"
James Baldwin,"Children have never been very good at listening to their elders, but they have never failed to imitate them.","['parenting', 'role-models']"
C.S. Lewis,You can make anything by writing.,['writing']
F. Scott Fitzgerald,"There are only the pursued, the pursuing, the busy and the tired.",['demographics']
Harlan Ellison,You are not entitled to your opinion. You are entitled to your informed opinion. No one is entitled to be ignorant.,"['ignorance', 'intelligence', 'opinions', 'stupidity']"
E.E. Cummings,"Trust your heart if the seas catch fire, live by love though the stars walk backward.","['decisions', 'love', 'stars', 'taking-chances']"
Stieg Larsson,"Friendship- my definition- is built on two things. Respect and trust. Both elements have to be there. And it has to be mutual. You can have respect for someone, but if you don't have trust, the friendship will crumble.","['friendship', 'incredibly-true', 'mutuality', 'reciprocity', 'respect', 'trust']"
Jim Butcher,"When everything goes to hell, the people who stand by you without flinching -- they are your family. ",['family']
Albert Einstein,Black holes are where God divided by zero.,['humor']
Robert Louis Stevenson,"Life is not a matter of holding good cards, but of playing a poor hand well.",['life']
Cassandra Clare,"Jace shook his blond head in exasperation. ""You had to make a crazy jail friend, didn't you? You couldn't just count ceiling tiles or tame a pet mouse like normal prisoners do?","['humor', 'jace']"
Jodi Picoult,"If you have a sister and she dies, do you stop saying you have one? Or are you always a sister, even when the other half of the equation is gone?","['death', 'loss', 'sisters']"
Joyce Carol Oates,"Reading is the sole means by which we slip, involuntarily, often helplessly, into another's skin, another's voice, another's soul.",['reading']
Neil Gaiman,Being a writer is a very peculiar sort of a job: it's always you versus a blank sheet of paper (or a blank screen) and quite often the blank piece of paper wins.,['writing']
Bob Dylan,"Behind every beautiful thing, there's some kind of pain.","['beautiful', 'behind', 'kind', 'of', 'pain', 'thing']"
J. K. Rowling,"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally the whole school knows.",['dumbledore']
Virginia Woolf,"Writing is like sex. First you do it for love, then you do it for your friends, and then you do it for money.",['writing']
Sarah J. Maas,"My name is Celaena Sardothien. But it makes no difference if my name's Celaena or Lillian or Bitch, because I'd still beat you, no matter what you call me.",['assassin']
Arrigo Boito,"When I saw you I fell in love, and you smiled because you knew.",['love']
Cornelia Funke,Books have to be heavy because the whole world's inside them.,['inkheart']
Stephen Chbosky,"please believe that things are good with me, and even when they're not, they will be soon enough. And i will always believe the same about you.","['happiness', 'inspirational', 'life']"
Steve Martin,"Some people have a way with words, and other people...oh, uh, not have way.","['humor', 'words']"
W.C. Fields,"It ain't what they call you, it's what you answer to.","['labels', 'names']"
Rick Riordan,It's hard to enjoy practical jokes when your whole life feels like one.,"['enjoy', 'humor', 'joke', 'prank']"
Mark Twain,"I've lived through some terrible things in my life, some of which actually happened.",['humor']
Marcel Proust,"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.","['discovery', 'travel']"
Mahatma Gandhi,The best way to find yourself is to lose yourself in the service of others.,"['discovery', 'identity', 'self-discovery', 'service']"
Roy T. Bennett,"Stop comparing yourself to other people, just choose to be happy and live your own life.","['happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Nicholas Sparks,"I fell in love with her when we were together, then fell deeper in love with her in the years we were apart.","['love', 'separation']"
Richelle Mead,The only thing better than imagining Dimitri carrying me in his arms was imagining him shirtless while carrying me in his arms.,"['academy', 'mead', 'richelle', 'vampire']"
Suzanne Collins,You're a painter. You're a baker. You like to sleep with the windows open. You never take sugar in your tea. And you always double-knot your shoelaces.,"['katniss-everdeen', 'peeta-mellark']"
Leonard Cohen,There is a crack in everything.That's how the light gets in.,"['hope', 'light']"
Ben Okri,"Stories can conquer fear, you know. They can make the heart bigger.",['stories']
Stephenie Meyer,"Forbidden to remember, terrified to forget; it was a hard line to walk.",['memory']
Virginia Woolf,"As a woman I have no country. As a woman I want no country. As a woman, my country is the whole world.",['women']
Nicholas Sparks,The emotion that can break your heart is sometimes the very one that heals it...,"['at-first-sight', 'emotions', 'healing', 'heartbreak', 'love', 'nicholas', 'nicholas-sparks', 'sparks']"
Sarah Dessen,"Anyone can hide. Facing up to things, working through them, that's what makes you strong.","['inspirational', 'strength', 'tough-times']"
Paulo Coelho,"Don't give in to your fears. If you do, you won't be able to talk to your heart.",['fear']
Harvey Fierstein,"Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life, but define yourself.","['be-yourself', 'identity', 'individuality', 'inspirational', 'life', 'self-determination', 'self-esteem', 'self-expression']"
Roy T. Bennett,You are not rich until you have a rich heart.,"['heart', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'rich', 'rich-heart', 'richness']"
Boris Pasternak,I don't like people who have never fallen or stumbled. Their virtue is lifeless and it isn't of much value. Life hasn't revealed its beauty to them. ,['life']
Roy T. Bennett,You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.,"['achievement', 'change', 'comfort-zone', 'courage', 'dream', 'dreams', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'start-up', 'step-out-of-your-comfort-zone']"
Chuck Palahniuk,"When we don't know who to hate, we hate ourselves.","['hate', 'self-loathing']"
J.M. Barrie,"When the first baby laughed for the first time, its laugh broke into a thousand pieces, and they all went skipping about, and that was the beginning of fairies.",['happiness']
Edward Abbey,Better a cruel truth than a comfortable delusion.,['truth']
Anais Nin,"I must be a mermaid, Rango. I have no fear of depths and a great fear of shallow living.","['anais-nin', 'inspirational', 'living', 'mermaids', 'no-fear', 'sea']"
Oscar Wilde,"Selfishness is not living as one wishes to live, it is asking others to live as one wishes to live.",['selfishness']
Harper Lee,"Sometimes the Bible in the hand of one man is worse than a whisky bottle in the hand of (another)... There are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results.","['bible', 'god', 'hatred', 'judgement', 'religion']"
Roy T. Bennett,"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.","['future', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'limit', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential']"
Phyllis Diller,A smile is a curve that sets everything straight.,['humor']
Dr. Seuss,"Remember me and smile, for it's better to forget than to remember me and cry.","['dr-seuss', 'goodbye']"
Tim Burton,One person's craziness is another person's reality.,"['craziness', 'insanity', 'perspective', 'reality', 'sanity']"
Chuck Palahniuk,"You are not special. You're not a beautiful and unique snowflake. You're the same decaying organic matter as everything else. We're all part of the same compost heap. We're all singing, all dancing crap of the world.",['unique']
Robert Louis Stevenson,"I kept always two books in my pocket, one to read, one to write in.","['books', 'inspirational', 'on-writing', 'reading']"
Elizabeth Wurtzel,"That's the thing about depression: A human being can survive almost anything, as long as she sees the end in sight. But depression is so insidious, and it compounds daily, that it's impossible to ever see the end.",['depression']
Charles Darwin,"If I had my life to live over again, I would have made a rule to read some poetry and listen to some music at least once every week.","['arts', 'life', 'music', 'poetry']"
J.R.R. Tolkien,"May it be a light to you in dark places, when all other lights go out.","['benediction', 'gift', 'light']"
Andy Warhol,"They always say time changes things, but you actually have to change them yourself.","['change', 'initiative', 'time']"
Stieg Larsson,What she had realized was that love was that moment when your heart was about to burst.,"['adoration', 'infatuation', 'love']"
Neil Gaiman,"Things need not have happened to be true. Tales and dreams are the shadow-truths that will endure when mere facts are dust and ashes, and forgot.",['sandman']
Yann Martel,To choose doubt as a philosophy of life is akin to choosing immobility as a means of transportation.,['life']
P.C. Cast  Kristin Cast,"If you have good friends, no matter how much life is sucking , they can make you laugh.",['friendship']
Jack Kornfield,In the endthese things matter most:How well did you love?How fully did you live?How deeply did you let go?,"['eastern-philosophy', 'inspirational']"
Martin Luther King Jr.,"The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.",['challanges']
Mother Teresa,Do not think that love in order to be genuine has to be extraordinary. What we need is to love without getting tired. Be faithful in small things because it is in them that your strength lies.,['paraphrased']
Charles Lamb,"I always arrive late at the office, but I make up for it by leaving early.","['humor', 'work']"
Jo Walton,"It doesn't matter. I have books, new books, and I can bear anything as long as there are books.",['books']
Lawrence Ferlinghetti,If you're too open-minded; your brains will fall out.,"['beatnik', 'cynical', 'funny', 'humour']"
Sheng Wang,"Why do people say ""grow some balls""? Balls are weak and sensitive. If you wanna be tough, grow a vagina. Those things can take a pounding.","['feminism', 'humor', 'misattributed-betty-white']"
J.K. Rowling,"I hope you're pleased with yourselves. We could all have been killed - or worse, expelled. Now if you don't mind, I'm going to bed.","['humor', 'school']"
Cassandra Clare,"Whatever you are physically...male or female, strong or weak, ill or healthy--all those things matter less than what your heart contains. If you have the soul of a warrior, you are a warrior. All those other things, they are the glass that contains the lamp, but you are the light inside.","['character', 'clockwork-angel', 'jem-carstairs', 'lamp', 'light', 'soul', 'warrior']"
Cassandra Clare,My rapier wit hides my inner pain.,"['humor', 'jace-wayland', 'the-mortal-instruments', 'tmi']"
Fyodor Dostoevsky,"I say let the world go to hell, but I should always have my tea.","['hell', 'individualism', 'irony', 'selfishness', 'tea']"
Bob Marley,Better to die fighting for freedom then be a prisoner all the days of your life.,"['freedom', 'liberty', 'life', 'revolution']"
Lauren Oliver,I'd rather die my way than live yours.,"['independence', 'lena-holoway', 'self-determination', 'self-reliance']"
Maya Angelou,Try to be a rainbow in someone's cloud.,"['2008', 'advice']"
Heinrich Heine,"Where words leave off, music begins.","['music', 'power-of-music']"
Glen Cook,Morning is wonderful. Its only drawback is that it comes at such an inconvenient time of day.,"['morning', 'waking-up']"
Ayn Rand,"I could die for you. But I couldn't, and wouldn't, live for you.","['death', 'die', 'fountainhead', 'life', 'live', 'mortality']"
Anais Nin,"I am lonely, yet not everybody will do. I don't know why, some people fill the gaps and others emphasize my loneliness. In reality those who satisfy me are those who simply allow me to live with my ''idea of them.",['diary-entry']
John Green,"Headline?"" he asked.""'Swing Set Needs Home,'"" I said.""'Desperately Lonely Swing Set Needs Loving Home,'"" he said.""'Lonely, Vaguely Pedophilic Swing Set Seeks the Butts of Children,'"" I said.","['funny', 'humor', 'humour', 'internet', 'john-green', 'pedophile', 'pedophilia', 'tfios', 'the-fault-in-our-stars']"
Edmund Burke,The only thing necessary for the triumph of evil is for good men to do nothing.,['evil']
Terry Pratchett,"If you have enough book space, I don't want to talk to you.","['books', 'shelves']"
Rainbow Rowell,"Holding Eleanor's hand was like holding a butterfly. Or a heartbeat. Like holding something complete, and completely alive.","['friendship', 'high-school', 'love', 'relationships', 'sweet', 'teenage-love']"
Mark Twain,Education: the path from cocky ignorance to miserable uncertainty.,['education']
David Foster Wallace,The truth will set you free. But not until it is finished with you.,"['freedom', 'truth']"
Aung San Suu Kyi,"The only real prison is fear, and the only real freedom is freedom from fear",['civil-rights']
J.R.R. Tolkien,It's the job that's never started as takes longest to finish.,"['fellowship', 'gamgee', 'hobbit', 'samwise', 'tolkien']"
Alexandre Dumas,"I am not proud, but I am happy; and happiness blinds, I think, more than pride.","['happiness', 'pride']"
Virginia Woolf,"I can only note that the past is beautiful because one never realises an emotion at the time. It expands later, and thus we don't have complete emotions about the present, only about the past.","['beauty', 'emotion', 'history', 'memory', 'recollection']"
Groucho Marx,Learn from the mistakes of others. You can never live long enough to make them all yourself.,[]
Peter S. Beagle,"Great heroes need great sorrows and burdens, or half their greatness goes unnoticed. It is all part of the fairy tale.","['heroes', 'inspirational']"
John Lennon,There's nowhere you can be that isn't where you're meant to be...,"['beatles', 'destiny', 'fate', 'life']"
Albert Einstein,Everything must be made as simple as possible. But not simpler.,"['einstein', 'paraphrased', 'science', 'systems']"
Dr. Seuss,"They say I'm old-fashioned, and live in the past, but sometimes I think progress progresses too fast!","['life', 'time']"
Guy de Maupassant,Words dazzle and deceive because they are mimed by the face. But black words on a white page are the soul laid bare.,['books']
Rita Mae Brown,"Sorrow is how we learn to love. Your heart isn't breaking. It hurts because it's getting larger. The larger it gets, the more love it holds.",['love']
George Orwell,The most effective way to destroy people is to deny and obliterate their own understanding of their history.,"['history', 'propaganda', 'rewriting-history']"
Toni Morrison,"Freeing yourself was one thing, claiming ownership of that freed self was another.","['freedom', 'self']"
Mae West,"Between two evils, I always pick the one I never tried before.","['evil', 'temptation']"
George R.R. Martin,"When the snows fall and the white winds blow, the lone wolf dies but the pack survives.","['friendship', 'loneliness']"
Lewis Carroll,Curiouser and curiouser!,['alice-in-wonderland']
Audre Lorde,Your silence will not protect you.,"['protection', 'silence', 'speech']"
Zadie Smith,"The past is always tense, the future perfect.","['future', 'grammar', 'language', 'past']"
Charles Dickens,"It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to than I have ever known.","['last-words', 'self-sacrifice']"
Charles Dickens,"Heaven knows we need never be ashamed of our tears, for they are rain upon the blinding dust of earth, overlying our hard hearts. I was better after I had cried, than before--more sorry, more aware of my own ingratitude, more gentle.","['crying', 'heartfelt', 'shame', 'sorrow', 'tears']"
Nelson Mandela,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.","['bravery', 'courage', 'fear']"
Harper Lee,"Atticus, he was real nice.""""Most people are, Scout, when you finally see them.",['inspirational']
Cassandra Clare,"Patience, grasshopper,"" said Maia. ""Good things come to those who wait.""""I always thought that was 'Good things come to those who do the wave,'"" said Simon. ""No wonder I've been so confused all my life.","['maia', 'patience', 'simon', 'wit']"
Jane Austen,"The Very first moment I beheld him, my heart was irrevocably gone.",['romance']
J.K. Rowling,The last enemy that shall be destroyed is death.,"['bible', 'death', 'enemy']"
Alexander Pope,"To err is human, to forgive, divine.","['failure', 'forgiveness', 'humanity', 'mistakes']"
Kurt Cobain,"I'd rather be hated for who I am, than loved for who I am not.",['inspirational']
Simone de Beauvoir,"I am too intelligent, too demanding, and too resourceful for anyone to be able to take charge of me entirely. No one knows me or loves me completely. I have only myself",['feminism']
C.S. Lewis,No one ever told me that grief felt so like fear.,"['fear', 'grief', 'sorrow']"
F. Scott Fitzgerald,Whenever you feel like criticizing any one...just remember that all the people in this world haven't had the advantages that you've had.,"['empathy', 'thankful', 'understanding', 'understanding-others']"
Ralph Waldo Emerson,All I have seen teaches me to trust the Creator for all I have not seen.,"['belief', 'experience', 'faith', 'judging-from-experience', 'religion', 'unseen']"
Elizabeth Gilbert,"To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous.","['acceptance', 'being-loved', 'love', 'marriage', 'relationships', 'truth']"
Rumi,"In your light I learn how to love. In your beauty, how to make poems. You dance inside my chest where no-one sees you, but sometimes I do, and that sight becomes this art.",['love']
George R.R. Martin,"The man who passes the sentence should swing the sword. If you would take a man's life, you owe it to him to look into his eyes and hear his final words. And if you cannot bear to do that, then perhaps the man does not deserve to die.","['honor', 'justice', 'personal-responsibility', 'responsibility']"
Marilyn Monroe,"I don't know who invented high heels, but all women owe him a lot!",['fashion']
Roy T. Bennett,Let the improvement of yourself keep you so busy that you have no time to criticize others.,"['improvement', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leadership', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']"
E.L. James,"Sometimes I wonder if there's something wrong with me. Perhaps I've spent too long in the company of my literary romantic heroes, and consequently my ideals and expectations are far too high.",['romance']
Jasper Fforde,"If the real world were a book, it would never find a publisher. Overlong, detailed to the point of distraction-and ultimately, without a major resolution.","['life', 'world']"
J.M. Barrie,Second star to the right and straight on 'til morning. ,['childhood-memory']
Nicole Krauss,When will you learn that there isn't a word for everything?,['power-of-words']
Cassandra Clare,"Alec looked at her and shook his head. ""How do you manage never to get mud on your clothes?""Isabelle shrugged philosophically. ""I'm pure at heart. It repels the dirt.","['alec-lightwood', 'city-of-ashes', 'clean', 'dirt', 'humor', 'isabelle-lightwood', 'sarcasm']"
Anne Rice,Evil is always possible. And goodness is eternally difficult.,['good-evil']
Pittacus Lore,"When you have lost hope, you have lost everything. And when you think all is lost, when all is dire and bleak, there is always hope.",['hope']
Thomas Babington Macaulay,"What a blessing it is to love books as I love them;- to be able to converse with the dead, and to live amidst the unreal!","['books', 'reading']"
Albert Camus,Blessed are the hearts that can bend; they shall never be broken.,"['beatitudes', 'blessed', 'unbreakable']"
Fyodor Dostoevsky,Man only likes to count his troubles; he doesn't calculate his happiness.,"['happiness', 'man', 'trouble']"
Bill Watterson,I'm killing time while I wait for life to shower me with meaning and happiness.,"['calvin-and-hobbes', 'humor', 'life']"
Mark Twain,The best way to cheer yourself is to try to cheer someone else up.,['happiness']
J.R. Ward,"I was dead until you found me, though I breathed. I was sightless, though I could see. And then you came...and I was awakened.",['zsadist']
Aristotle,Educating the mind without educating the heart is no education at all.,"['education', 'ethics']"
Plato,The price good men pay for indifference to public affairs is to be ruled by evil men.,['philosophy']
Louis L'Amour,"Once you have read a book you care about, some part of it is always with you.","['books', 'inspirational', 'reading']"
Rumi Jalalud-Din,"Ignore those that make you fearful and sad, that degrade you back towards disease and death.",['inspiration']
John Green,"And then something invisible snapped insider her, and that which had come together commenced to fall apart.","['depressing', 'wise']"
Paulo Coelho,The two hardest tests on the spiritual road are the patience to wait for the right moment and the courage not to be disappointed with what we encounter.,"['appreciation', 'courage', 'patience', 'trials-of-life']"
